timesteps,target_index,elapsed_time,target_x,target_y,target_z,distance,reward,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,valid_side_hit,whip_target_contact
40000,0,0.01,1.1,-0.45,0.8,1.8079058761507358,5.957391738690374,-8.365980817513663e-05,-1.9129539153357726,1.4858550231589425,-0.8595582944355793,-1.5567351652078893,0.0019698036165188802,0,0
40000,0,0.02,1.1,-0.45,0.8,1.8078146633766152,-0.14893506567494197,-0.0005903806938836288,-1.9107429102864915,1.4828866534360992,-0.8565527449507112,-1.5588513725376887,0.00580209956171208,0,0
40000,0,0.03,1.1,-0.45,0.8,1.8077928633146063,-0.17011433577065593,-0.0018240183667776045,-1.9081940456010846,1.4788531718236761,-0.8529152896744088,-1.561911571937148,0.011442463277562962,0,0
40000,0,0.04,1.1,-0.45,0.8,1.8078181817284422,-0.17343166975221144,-0.0037109075564649477,-1.9061078697874554,1.473782735705836,-0.8488491858794444,-1.5661112889198174,0.018676751749543665,0,0
40000,0,0.05,1.1,-0.45,0.8,1.8078486978039097,-0.17305336484994438,-0.006217637131540729,-1.905085178923033,1.4675901897074315,-0.8443422659838031,-1.5715534595012783,0.027174431648996685,0,0
40000,0,0.06,1.1,-0.45,0.8,1.807886941340296,-0.1749037102616341,-0.009328648999257396,-1.9054076023547966,1.4602760336961693,-0.8393777512293649,-1.5778470924017445,0.03671794225745353,0,0
40000,0,0.07,1.1,-0.45,0.8,1.8079439843465117,-0.17860427548606303,-0.01307672824140953,-1.907053418181029,1.4518344508535876,-0.8339957396237349,-1.5842764780242935,0.047263078257898244,0,0
40000,0,0.08,1.1,-0.45,0.8,1.8080054011453766,-0.17975296353441958,-0.01746455423832963,-1.9098057392393801,1.4423691915668764,-0.8281666930038687,-1.590081242150517,0.05887429794435147,0,0
40000,0,0.09,1.1,-0.45,0.8,1.8080419434071848,-0.17812541468269152,-0.022532696758023572,-1.9134046821197643,1.4321966580711818,-0.8219197445044379,-1.5948408255446387,0.07150952294383064,0,0
40000,0,0.1,1.1,-0.45,0.8,1.8080455133813849,-0.17658780149044034,-0.0283305386441324,-1.9175694423437268,1.4216082195778939,-0.8153253796025576,-1.5984938723164857,0.08505044299857328,0,0
40000,0,0.11,1.1,-0.45,0.8,1.8079549795231276,-0.1692382437377233,-0.03490226719853969,-1.9219880716149813,1.410766700145165,-0.808453311469168,-1.601051720201794,0.09943190495368825,0,0
40000,0,0.12,1.1,-0.45,0.8,1.8078442836056994,-0.1719471014717022,-0.04229865935069758,-1.9264673509971348,1.399744140456264,-0.8014695804714954,-1.6028656936785526,0.11443652535866286,0,0
40000,0,0.13,1.1,-0.45,0.8,1.807709322344575,-0.16758464292275452,-0.0505062433391559,-1.9309109965458875,1.3885981875128164,-0.7946112709465957,-1.6044786825515869,0.1297545753846289,0,0
40000,0,0.14,1.1,-0.45,0.8,1.8074849237561288,-0.1401903297497158,-0.05945374304864626,-1.9352905336715323,1.3773304286147294,-0.7879367763320757,-1.6062539041772612,0.14527620935967306,0,0
40000,0,0.15,1.1,-0.45,0.8,1.8071797455881498,-0.12038637199869164,-0.06906358695411027,-1.9396220278592704,1.3659661785717243,-0.7813736021329473,-1.6083450214914794,0.16100041356861766,0,0
40000,0,0.16,1.1,-0.45,0.8,1.8068498973039728,-0.11247209395052751,-0.07926085923440249,-1.9439383511455077,1.354535907078627,-0.7748187795029633,-1.6108458564912016,0.17688738984520275,0,0
40000,0,0.17,1.1,-0.45,0.8,1.8064853051701428,-0.10770729278926147,-0.09002115891621242,-1.9482481796456153,1.3430401091279847,-0.7682357981813893,-1.6137654057704174,0.1930214836094276,0,0
40000,0,0.18,1.1,-0.45,0.8,1.8061098102344748,-0.10534265259415196,-0.10133059668688449,-1.9525347788606724,1.3314865494137953,-0.7615616054268766,-1.6171467672884896,0.20935725468435612,0,0
40000,0,0.19,1.1,-0.45,0.8,1.8056830152236825,-0.09455015815774298,-0.11319001525416826,-1.95679214351061,1.3198469065540384,-0.7547829962980619,-1.6209712759615054,0.22598329313221127,0,0
40000,0,0.2,1.1,-0.45,0.8,1.8051820196185329,-0.07614504194818124,-0.1255808998161394,-1.9610397071893777,1.3080933875611405,-0.7477990999171221,-1.625247035648988,0.2428714711138736,0,0
40000,0,0.21,1.1,-0.45,0.8,1.804721886036546,-0.08447417553242181,-0.13852089520181693,-1.965333789070516,1.2961689715121578,-0.7405278552891175,-1.6299039423373773,0.2601254542700313,0,0
40000,0,0.22,1.1,-0.45,0.8,1.8042276474665802,-0.07727884369135764,-0.15204201151342062,-1.9697326400240005,1.284070041220927,-0.732919785216068,-1.6348582500178102,0.2777402795466244,0,0
40000,0,0.23,1.1,-0.45,0.8,1.8036330597832173,-0.05658215177131018,-0.16614847034813823,-1.9742784804723532,1.2718316413959365,-0.7249623972667602,-1.6400220136485586,0.295762135666315,0,0
40000,0,0.24,1.1,-0.45,0.8,1.8030115936341824,-0.0509865501427032,-0.1808443494333707,-1.9789896791304429,1.2594211702185587,-0.7166654328023132,-1.6453920927573713,0.314267255878106,0,0
40000,0,0.25,1.1,-0.45,0.8,1.8023737986263746,-0.047710932199923894,-0.1961521216584352,-1.98388113250839,1.2468113411832753,-0.7080025268317031,-1.650880856634359,0.3332702541461967,0,0
40000,0,0.26,1.1,-0.45,0.8,1.801762062934514,-0.053545531524585355,-0.21207365163173328,-1.9889482720960323,1.2339934594205635,-0.6989708132037552,-1.6564786581197635,0.35273479768280885,0,0
40000,0,0.27,1.1,-0.45,0.8,1.8011595120445056,-0.05591324221634833,-0.22862180145859373,-1.9941613753435108,1.2209312610316136,-0.6896117278239863,-1.6621763728606245,0.3728586011925625,0,0
40000,0,0.28,1.1,-0.45,0.8,1.8006109320609656,-0.06763658612421627,-0.24579433388119257,-1.9994662152849938,1.2076194396817013,-0.6798961236191022,-1.6679676770060379,0.39344778943166997,0,0
40000,0,0.29,1.1,-0.45,0.8,1.8000051150050425,-0.05611681244479885,-0.2635947172864439,-2.0048075484399033,1.1940472572372793,-0.6698228863307749,-1.6738669616564754,0.41447870807753695,0,0
40000,0,0.3,1.1,-0.45,0.8,1.7994332897859875,-0.06347538613451253,-0.2820372984352482,-2.0101454367781417,1.1802282364596794,-0.6593653407799525,-1.6798817693309174,0.43598876009355736,0,0
40000,0,0.31,1.1,-0.45,0.8,1.7988489980291589,-0.061147678772943775,-0.3011464968419107,-2.015456103073023,1.166154249692345,-0.6485010585098191,-1.686008935794544,0.45802324712449294,0,0
40000,0,0.32,1.1,-0.45,0.8,1.7982421077632718,-0.05927860112621905,-0.3209409674469768,-2.0207047937719365,1.151801426289653,-0.6372035919104541,-1.6922796028735938,0.4805464878943697,0,0
40000,0,0.33,1.1,-0.45,0.8,1.7976054559549852,-0.05340831269213739,-0.3414250170052831,-2.0258511899032783,1.1371488958755684,-0.6254606671613469,-1.6987302637220205,0.5035772574060413,0,0
40000,0,0.34,1.1,-0.45,0.8,1.7970526340789725,-0.07156732119660628,-0.36261620167106173,-2.030848498417627,1.1221701436201565,-0.6132727123007828,-1.7053061392716597,0.5271002055461174,0,0
40000,0,0.35000000000000003,1.1,-0.45,0.8,1.7965705786209145,-0.08699570888143875,-0.3845242266465416,-2.0356457046663814,1.1068282440302304,-0.6006408744613665,-1.7119865572260826,0.5512300684164455,0,0
40000,0,0.36,1.1,-0.45,0.8,1.796123885557772,-0.09472241621400526,-0.40715772980056186,-2.040214600613703,1.091116789647582,-0.5874701751739784,-1.718784121049667,0.5758653148024852,0,0
40000,0,0.37,1.1,-0.45,0.8,1.7957011384980488,-0.0999922220133161,-0.43051419440835553,-2.044553036497553,1.0750347337990849,-0.5736828918505213,-1.7257200368124903,0.6010750682268206,0,0
40000,0,0.38,1.1,-0.45,0.8,1.7952283072472228,-0.09010980157495876,-0.45460918106707876,-2.048655290499291,1.058595623346582,-0.559261176731974,-1.7327432470202682,0.626883280302948,0,0
40000,0,0.39,1.1,-0.45,0.8,1.7943668148621734,-0.009095896837239575,-0.4794538822491862,-2.0525103493038257,1.041825511447823,-0.5441229752375841,-1.739885345706066,0.6532655701099235,0,0
40000,0,0.4,1.1,-0.45,0.8,1.7927609168410632,0.14642750736222027,-0.5049877551814589,-2.056122520906271,1.0247357655115428,-0.5283562271662062,-1.7471506155003644,0.680255003920514,0,0
