timesteps,target_index,elapsed_time,target_x,target_y,target_z,distance,reward,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,valid_side_hit,top_down_contact,unsafe_robot_failure,safe_target_contact,whip_target_contact
100000,1,0.01,0.85,-0.45,0.8,1.5920860524824303,-2.863447885302065,2.485301685806009e-05,-1.9132849312613374,1.4889761249550069,-0.8631864004670995,-1.5575561244088019,0.0021941472954782894,0,0,0,0,0
100000,1,0.02,0.85,-0.45,0.8,1.591955752256131,-0.15078786598368604,-0.00018221435714815918,-1.9111199774369918,1.4921116176626734,-0.8670127168889598,-1.5613829780421629,0.0065020083912854095,0,0,0,0,0
100000,1,0.03,0.85,-0.45,0.8,1.5918887713974323,-0.16457104031895137,-0.00042227055312938765,-1.9075934481025736,1.4958351693713317,-0.8724143693590046,-1.5666522041910662,0.013126783169698914,0,0,0,0,0
100000,1,0.04,0.85,-0.45,0.8,1.5917934709633312,-0.16176323819320607,-0.00033155873453820595,-1.9029952544450668,1.4993282477923509,-0.8790870891700076,-1.5731420644772545,0.021788553802629236,0,0,0,0,0
100000,1,0.05,0.85,-0.45,0.8,1.5916553406149205,-0.15837010181750721,0.0006164616838799611,-1.8975974917703662,1.5024614741928466,-0.8868840274972898,-1.5805488877041243,0.03232872218226527,0,0,0,0,0
100000,1,0.06,0.85,-0.45,0.8,1.5915548936873298,-0.164898927036996,0.0028510910914050216,-1.8916359293265372,1.505394631044073,-0.8957927138858219,-1.5887670002532268,0.044614876407511585,0,0,0,0,0
100000,1,0.07,0.85,-0.45,0.8,1.5915132568533132,-0.17113096212889894,0.006670550025012497,-1.885271225892703,1.5082224601931917,-0.9056375669211092,-1.5976459284382865,0.0584820435076562,0,0,0,0,0
100000,1,0.08,0.85,-0.45,0.8,1.5915166274115486,-0.17375674794809784,0.012267516263597003,-1.8786670701552333,1.5111498230175127,-0.9161874491245866,-1.6069505537260695,0.07384349782133122,0,0,0,0,0
100000,1,0.09,0.85,-0.45,0.8,1.5915388468056835,-0.1763400924341004,0.019781631154320904,-1.8719530260502164,1.5145854947990072,-0.9272447842665463,-1.6163109785191918,0.09060799137289441,0,0,0,0,0
100000,1,0.1,0.85,-0.45,0.8,1.5915916847486693,-0.183071064854219,0.029269395698806978,-1.8652772671568214,1.518937460067994,-0.93857136378743,-1.625315404880534,0.10863319940290007,0,0,0,0,0
100000,1,0.11,0.85,-0.45,0.8,1.5916578070903622,-0.18511907561053298,0.04073225296887688,-1.8588216312747983,1.5244519020806178,-0.9498855332821635,-1.6336710369973437,0.12778712651821283,0,0,0,0,0
100000,1,0.12,0.85,-0.45,0.8,1.5916885194776482,-0.18526051006362199,0.054136834822217234,-1.8526116017897343,1.5311867608951308,-0.9608395062715215,-1.6411913166404042,0.14793422682752827,0,0,0,0,0
100000,1,0.13,0.85,-0.45,0.8,1.591678284096761,-0.1790148296568076,0.06941393298722054,-1.8465191080297758,1.5390964601311348,-0.9712996586560994,-1.6475598070557194,0.16907109738634157,0,0,0,0,0
100000,1,0.14,0.85,-0.45,0.8,1.5916408777942408,-0.17415942729402123,0.0864876042160549,-1.840312005413566,1.5481115268593113,-0.9814839144319629,-1.6526616432585406,0.19073443909699028,0,0,0,0,0
100000,1,0.15,0.85,-0.45,0.8,1.591621848069016,-0.15400343712157102,0.10525724511955273,-1.8338843676481202,1.5581842234665275,-0.9915751814801604,-1.65657174951832,0.21255852867300193,0,0,0,0,0
100000,1,0.16,0.85,-0.45,0.8,1.591648426321142,-0.1829707471875403,0.1256208876046606,-1.8273085498341286,1.5691689854072062,-1.0016893582690085,-1.6595627855293864,0.2347791551776949,0,0,0,0,0
100000,1,0.17,0.85,-0.45,0.8,1.5916583798017576,-0.1830974995727655,0.14750065776641746,-1.8206496864669157,1.580868796949931,-1.0118170003668159,-1.6617583586899685,0.2570298709653315,0,0,0,0,0
100000,1,0.18,0.85,-0.45,0.8,1.5917202936424537,-0.18945092438705194,0.17080036977001992,-1.8139598539783826,1.5928884910007493,-1.0221189802517392,-1.6633638967739788,0.2793509117136171,0,0,0,0,0
100000,1,0.19,0.85,-0.45,0.8,1.591843805397728,-0.19957683857665143,0.19541589092565953,-1.8073767333575723,1.604861033915649,-1.0326898860287692,-1.664542887586882,0.3019297697951916,0,0,0,0,0
100000,1,0.2,0.85,-0.45,0.8,1.5920913748257686,-0.21237782373542283,0.2212447373420932,-1.801025860717979,1.6166434883344973,-1.0434743967982283,-1.665424876732139,0.32448821187944527,0,0,0,0,0
