timesteps,target_index,elapsed_time,target_x,target_y,target_z,distance,reward,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,valid_side_hit,top_down_contact,unsafe_robot_failure,safe_target_contact,whip_target_contact
440000,1,0.01,0.85,-0.45,0.8,1.5921421690833102,-2.8659077453845954,0.00017121829879748022,-1.9150103714545863,1.4877952460842863,-0.8595146430176176,-1.5540928959558318,-0.0019152916976151169,0,0,0,0,0
440000,1,0.02,0.85,-0.45,0.8,1.5920454143929006,-0.15811585588037846,0.000717739606994635,-1.9174732637201513,1.4884726561492199,-0.8558316235908142,-1.551298916914761,-0.005809746569178272,0,0,0,0,0
440000,1,0.03,0.85,-0.45,0.8,1.5920474279389676,-0.17641902538194076,0.0013953109832104185,-1.9215610889403678,1.4891385289131491,-0.850347303799939,-1.5482363599483688,-0.01137599936673132,0,0,0,0,0
440000,1,0.04,0.85,-0.45,0.8,1.5919946680540187,-0.17161125520297005,0.0020049383604603833,-1.9273196825219425,1.489803292615697,-0.8433331752105799,-1.546059663977689,-0.018398166444083274,0,0,0,0,0
440000,1,0.05,0.85,-0.45,0.8,1.5919722612753866,-0.17120253647839662,0.0024180668446009924,-1.9346420861433296,1.4904022270214963,-0.835037378258288,-1.5454741281464566,-0.02676726515311316,0,0,0,0,0
440000,1,0.06,0.85,-0.45,0.8,1.591936233230124,-0.16962166827538527,0.0025788844414664836,-1.9434531000154303,1.4910788698890367,-0.8256646369566839,-1.5467393667994265,-0.03646100523653972,0,0,0,0,0
440000,1,0.07,0.85,-0.45,0.8,1.5918887318505588,-0.1691025318688392,0.0024373899439825214,-1.953666023210977,1.4918890345927023,-0.8153780851063817,-1.5500728603202178,-0.047438850370712854,0,0,0,0,0
440000,1,0.08,0.85,-0.45,0.8,1.5918697918260314,-0.17246534727570095,0.0019822442001586234,-1.9651911641604543,1.4927716352712805,-0.8043220054993592,-1.5552622196817707,-0.06000198469206471,0,0,0,0,0
440000,1,0.09,0.85,-0.45,0.8,1.5918150434066076,-0.17044400574080631,0.0012941727451097852,-1.9779182074819173,1.4935666649930908,-0.7925057335403116,-1.5622646867509944,-0.07385890047482235,0,0,0,0,0
440000,1,0.1,0.85,-0.45,0.8,1.5916873520178514,-0.16248770359551368,0.0008922509146209387,-1.9917085813094944,1.4940955759797305,-0.7800388034388646,-1.5710800408812469,-0.0885731108253916,0,0,0,0,0
440000,1,0.11,0.85,-0.45,0.8,1.591494537852733,-0.1600266879795615,0.0011897163386832353,-2.0064709651052355,1.4943856660207204,-0.7670815753579315,-1.5816720278043555,-0.10413605754350506,0,0,0,0,0
440000,1,0.12,0.85,-0.45,0.8,1.5912163456487405,-0.15421511907695967,0.002500699501134083,-2.0221206487369794,1.4946993656534442,-0.7540042458066911,-1.593953571763432,-0.12028690499470372,0,0,0,0,0
440000,1,0.13,0.85,-0.45,0.8,1.5908309131388885,-0.1471506953186472,0.004960298710554385,-2.0384253188332746,1.4951146291574928,-0.7412175703914444,-1.607641157599987,-0.1368869730423693,0,0,0,0,0
440000,1,0.14,0.85,-0.45,0.8,1.590295995624136,-0.1362691042763391,0.008536730029563563,-2.0550985723564152,1.495519741175209,-0.7293446301815375,-1.6221473334200953,-0.1535613036314934,0,0,0,0,0
440000,1,0.15,0.85,-0.45,0.8,1.5896984284076896,0.5850894764039141,0.012913799617076234,-2.072038403905391,1.4959437818579657,-0.7186503413986552,-1.6372662679663106,-0.17011815809464192,0,0,0,0,0
440000,1,0.16,0.85,-0.45,0.8,1.5890265195605866,0.680115283086167,0.01794580720722644,-2.089204707940824,1.4963136307787277,-0.7091691392815886,-1.652747758593094,-0.18634637798331433,0,0,0,0,0
440000,1,0.17,0.85,-0.45,0.8,1.5882810534493719,0.7775874123422579,0.023472376063826413,-2.1066299467756453,1.4965115550876051,-0.7008170170410623,-1.6684761970582405,-0.20213200195419123,0,0,0,0,0
440000,1,0.18,0.85,-0.45,0.8,1.5874543911043546,0.8823506614970609,0.029326600192855316,-2.1243622020589483,1.4964542524297568,-0.6936077871475029,-1.684393542214039,-0.2176478619402043,0,0,0,0,0
440000,1,0.19,0.85,-0.45,0.8,1.5865943060916434,0.9255194035521952,0.035336367095683205,-2.1423905871026614,1.4961353980647276,-0.6874995034921598,-1.7004884382598664,-0.23300620773885586,0,0,0,0,0
440000,1,0.2,0.85,-0.45,0.8,1.5856091365966265,1.0813975572854684,0.04124638871408131,-2.1606696706320476,1.4956791335960689,-0.6825974420719413,-1.716816986584131,-0.24823218781744474,0,0,0,0,0
440000,1,0.21,0.85,-0.45,0.8,1.5846539687014403,1.0461312196780839,0.046799318008907756,-2.1792100446764153,1.4950135568221055,-0.6789414814391054,-1.733530336416753,-0.2633508473290143,0,0,0,0,0
440000,1,0.22,0.85,-0.45,0.8,1.5836166398727067,1.1511165739390161,0.05190518594711433,-2.1978741530064227,1.4942626744543874,-0.6765393437206211,-1.7506057720196828,-0.278249078771904,0,0,0,0,0
440000,1,0.23,0.85,-0.45,0.8,1.5825223757289943,1.225572812612285,0.056304227956189355,-2.2166145565599478,1.493425032486397,-0.6753268809635774,-1.7681805452631179,-0.2927511457124942,0,0,0,0,0
440000,1,0.24,0.85,-0.45,0.8,1.581364605568938,1.305509144586778,0.05980651579645587,-2.2354593439603865,1.4924681984129355,-0.6752444442349224,-1.7863228081342206,-0.306750532517458,0,0,0,0,0
440000,1,0.25,0.85,-0.45,0.8,1.5801644164510764,1.3626992474757536,0.062347827457926545,-2.2543921540470064,1.4914396827910903,-0.6761114207670891,-1.8051208196677195,-0.3202761794510562,0,0,0,0,0
440000,1,0.26,0.85,-0.45,0.8,1.5789631050854511,1.3637681119468004,0.06381385492830344,-2.273324628353024,1.4903633836040522,-0.6775031735615398,-1.8248192955134157,-0.33355735990451735,0,0,0,0,0
440000,1,0.27,0.85,-0.45,0.8,1.5777679204265818,1.352165436747643,0.06424439822251776,-2.292076512759978,1.489240049167121,-0.6787978165929898,-1.845350479819985,-0.34659965570493056,0,0,0,0,0
440000,1,0.28,0.85,-0.45,0.8,1.5766153452827836,1.3035759093457706,0.06370774593049904,-2.310445134468691,1.4877525478244449,-0.679613930373876,-1.8667626969483173,-0.3594382122197995,0,0,0,0,0
440000,1,0.29,0.85,-0.45,0.8,1.5754698712162283,1.2908522957234758,0.062415732247255856,-2.3281230052191284,1.4857347568752355,-0.6799248246160913,-1.8889633962482506,-0.3721938566565189,0,0,0,0,0
