timesteps,target_index,elapsed_time,target_x,target_y,target_z,distance,reward,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,valid_side_hit,top_down_contact,unsafe_robot_failure,safe_target_contact,whip_target_contact
520000,0,0.01,1.1,-0.45,0.8,1.8079339232553309,-2.861965669892407,0.00033792865449150844,-1.9152653020003825,1.4863225799141364,-0.8590915625804388,-1.5534970934576708,-0.0005433570709574293,0,0,0,0,0
520000,0,0.02,1.1,-0.45,0.8,1.8078363917654328,-0.1579175295629168,0.0007304802992897928,-1.918661661720815,1.484038385648388,-0.8545541172982908,-1.5490915447905471,-0.0018588128608201342,0,0,0,0,0
520000,0,0.03,1.1,-0.45,0.8,1.807831347561646,-0.165062906150698,0.0004922726806752676,-1.9240235730199906,1.4810491056410893,-0.847792770405573,-1.5424933105434584,-0.004041582366572798,0,0,0,0,0
520000,0,0.04,1.1,-0.45,0.8,1.8078631437624946,-0.1751692894422403,-0.00011203480288800741,-1.9305851137111576,1.4780674560292546,-0.8389316730094313,-1.533803565586552,-0.007141404099562839,0,0,0,0,0
520000,0,0.05,1.1,-0.45,0.8,1.8079062624447864,-0.17358158803929713,-0.00037573267499827075,-1.937746391472661,1.4758978910215097,-0.8281008758206986,-1.52311641120768,-0.011264458386750071,0,0,0,0,0
520000,0,0.06,1.1,-0.45,0.8,1.8079674379410953,-0.1744170126860167,0.00014472858656462578,-1.9451067667320743,1.4750788248586206,-0.8153671724854106,-1.5105129617556354,-0.016473159902852287,0,0,0,0,0
520000,0,0.07,1.1,-0.45,0.8,1.8079888566226487,-0.17338535762948545,0.0017049452514582013,-1.9523862529095584,1.4759203670399357,-0.8007589055986059,-1.4960726621373965,-0.022745184824911436,0,0,0,0,0
520000,0,0.08,1.1,-0.45,0.8,1.807995337646002,-0.1721301223900748,0.004417350005118858,-1.9593492213582544,1.478530552081006,-0.7844039070590776,-1.4798715992054225,-0.030192638785283377,0,0,0,0,0
520000,0,0.09,1.1,-0.45,0.8,1.8079147140787624,-0.1613271297462267,0.008522659227841477,-1.9657684015445216,1.4830298242425954,-0.7663325946936498,-1.4619880581910916,-0.03887069074245503,0,0,0,0,0
520000,0,0.1,1.1,-0.45,0.8,1.80781950551104,-0.16037734416193827,0.014064392802097958,-1.971439563575472,1.4893811817729594,-0.7466508887325796,-1.4424986141471654,-0.048953640046423864,0,0,0,0,0
520000,0,0.11,1.1,-0.45,0.8,1.8075889831215117,-0.15402759817624684,0.019782714753174207,-1.97639571167254,1.4974221148888036,-0.7253844436319253,-1.4215101266452184,-0.06009337657059362,0,0,0,0,0
520000,0,0.12,1.1,-0.45,0.8,1.8073306211729692,-0.15684357265189774,0.02556928747319928,-1.9808188436032779,1.5070769269537296,-0.7026473408951028,-1.399125266932258,-0.07200979533134397,0,0,0,0,0
520000,0,0.13,1.1,-0.45,0.8,1.807086695286936,-0.16081173608433297,0.03129530007963724,-1.984995932596817,1.5182003762476892,-0.6785165635996457,-1.3754243395162473,-0.08452158293223369,0,0,0,0,0
520000,0,0.14,1.1,-0.45,0.8,1.806799970413791,-0.15900947224371081,0.03696102455858946,-1.9890570679649635,1.5306099214262672,-0.6530614598340491,-1.3504822250606512,-0.09750550625764917,0,0,0,0,0
520000,0,0.15,1.1,-0.45,0.8,1.8065269295841693,-0.15915799271416534,0.042752386858848294,-1.9930391841620172,1.5440794173156063,-0.6263519053265508,-1.3243777791446478,-0.11087016383911515,0,0,0,0,0
520000,0,0.16,1.1,-0.45,0.8,1.8062945980599354,-0.16720347405653763,0.048796969361286406,-1.996810112135846,1.5583152792005592,-0.5984348883858296,-1.2971811683374694,-0.12474363339462821,0,0,0,0,0
520000,0,0.17,1.1,-0.45,0.8,1.8060099221986508,-0.1603780396063828,0.05537017668590982,-2.000127050795333,1.5730391856435195,-0.5693945857507473,-1.2689546400139695,-0.13929173716239618,0,0,0,0,0
520000,0,0.18,1.1,-0.45,0.8,1.8056456713512525,-0.1539396732449709,0.06246044281916097,-2.0026779909460823,1.5879781937386521,-0.5392622922942574,-1.2397647282805369,-0.15463521355383933,0,0,0,0,0
520000,0,0.19,1.1,-0.45,0.8,1.805217960112914,-0.1490694181486229,0.0700616692267656,-2.004164550213516,1.6028897655342327,-0.5081004788638752,-1.2096640558780076,-0.1709246502639469,0,0,0,0,0
520000,0,0.2,1.1,-0.45,0.8,1.8047902286752897,-0.14970413538074,0.07831315904854527,-2.0043683036521864,1.617563665048079,-0.4759573023238798,-1.178694967864501,-0.18834074384687235,0,0,0,0,0
520000,0,0.21,1.1,-0.45,0.8,1.804285320766144,-0.14437823914098452,0.08712630489100816,-2.003226157867826,1.631807608041326,-0.44290548056676143,-1.1469021568381812,-0.20692960026810775,0,0,0,0,0
520000,0,0.22,1.1,-0.45,0.8,1.8037855666666514,-0.14923263697579858,0.0963589492816176,-2.000751178371046,1.6454576119804276,-0.40899512492769635,-1.1143393255938292,-0.22670417559239978,0,0,0,0,0
520000,0,0.23,1.1,-0.45,0.8,1.8033302415864518,-0.15442467074318678,0.1060318845643229,-1.9970289432044093,1.6583619534049192,-0.37429265961472075,-1.081056059133503,-0.24760533532210566,0,0,0,0,0
520000,0,0.24,1.1,-0.45,0.8,1.8028371990019052,-0.1493303800535964,0.11619297477108723,-1.9921736548359001,1.6703235416576174,-0.3388556253569412,-1.0471010425676346,-0.26966763683297,0,0,0,0,0
520000,0,0.25,1.1,-0.45,0.8,1.8023559564027871,-0.15104495364481524,0.1267999803775751,-1.9862173517059283,1.681095003044247,-0.3027281239196839,-1.0125467750428587,-0.29286151937559696,0,0,0,0,0
520000,0,0.26,1.1,-0.45,0.8,1.8019032139067872,-0.15476668059771476,0.13785860179041756,-1.9792140598732122,1.6905788558924415,-0.26597210596969706,-0.9774780243320866,-0.3172063085910572,0,0,0,0,0
520000,0,0.27,1.1,-0.45,0.8,1.801529163515149,-0.1631002906153604,0.14934530186700928,-1.9712699472445312,1.6987457819489946,-0.22862993531217352,-0.9419883989611348,-0.34258549135861704,0,0,0,0,0
520000,0,0.28,1.1,-0.45,0.8,1.801310160831697,-0.1790716216261795,0.1612058564213748,-1.9626739544557776,1.7056470045453882,-0.19075638136033576,-0.9061585528799999,-0.36891792692258446,0,0,0,0,0
520000,0,0.29,1.1,-0.45,0.8,1.8012108496518293,-0.19267402794742192,0.1731409289157926,-1.9538146027257892,1.7114311400115954,-0.15240817654310768,-0.8700766218406899,-0.3962415358923918,0,0,0,0,0
520000,0,0.3,1.1,-0.45,0.8,1.801218399805519,-0.2036794829300036,0.1849674388794908,-1.9448606972430622,1.7160929144135608,-0.1136265676624755,-0.8337832147426509,-0.42443638060514877,0,0,0,0,0
520000,0,0.31,1.1,-0.45,0.8,1.8013237771268318,-0.21338582808904674,0.19657710391512545,-1.9358384150241779,1.7195798299885316,-0.07444944000054991,-0.7973022827362878,-0.45348239475663815,0,0,0,0,0
520000,0,0.32,1.1,-0.45,0.8,1.801536832028883,-0.22415294839584213,0.20786338380636846,-1.9267889264042746,1.7218939191012197,-0.03491424619868077,-0.7606507145945998,-0.4833330681353449,0,0,0,0,0
520000,0,0.33,1.1,-0.45,0.8,1.8018400757420725,-0.23563950711495205,0.218759051832272,-1.9177719458021036,1.7229887546526637,0.004943308495136944,-0.7238255643801043,-0.5138985858199351,0,0,0,0,0
520000,0,0.34,1.1,-0.45,0.8,1.8022093624570068,-0.24233180956026934,0.22924205241880316,-1.9088154618186783,1.722804806826542,0.045093890686523135,-0.6868080986510945,-0.5451255934083165,0,0,0,0,0
520000,0,0.35000000000000003,1.1,-0.45,0.8,1.8025214127448914,-0.23727034600703636,0.2393177323719333,-1.8998592691276914,1.7212601490399067,0.0855215034721605,-0.6495775331974692,-0.577044283354497,0,0,0,0,0
520000,0,0.36,1.1,-0.45,0.8,1.8027425907534769,-0.22962045627418193,0.24898243392087083,-1.8908100730792161,1.718318124881653,0.12623165933055186,-0.6121272668209039,-0.6093701764544324,0,0,0,0,0
520000,0,0.37,1.1,-0.45,0.8,1.8029317251838373,-0.22651616482313475,0.258310286571603,-1.881493918511202,1.7138956748894836,0.16739843711210295,-0.5744410129148321,-0.6422118638051283,0,0,0,0,0
520000,0,0.38,1.1,-0.45,0.8,1.8032408626067524,-0.2384918540699735,0.26720821970710007,-1.8719136848741549,1.7080889386146403,0.20882491295507033,-0.5365197493456043,-0.6752370968371728,0,0,0,0,0
520000,0,0.39,1.1,-0.45,0.8,1.8034713707099583,-0.23270789724434715,0.2755183129245018,-1.862234231868717,1.7011145770999199,0.2504685969355084,-0.4983705775716869,-0.7085440448988661,0,0,0,0,0
520000,0,0.4,1.1,-0.45,0.8,1.803971411658356,-0.2573203165387894,0.2833674149470837,-1.8523731736278262,1.6929262589521776,0.29233996964004105,-0.4599627031647827,-0.7418755165802908,0,0,0,0,0
520000,0,0.41000000000000003,1.1,-0.45,0.8,1.8046823094114521,-0.27814735414304265,0.29048196575610635,-1.8426830842709554,1.6839385634928903,0.334360743900835,-0.42132038262123056,-0.7751305269398923,0,0,0,0,0
520000,0,0.42,1.1,-0.45,0.8,1.8055918943087448,-0.2969207787475124,0.296914928870901,-1.8333347215112854,1.674271290551909,0.3765313122903813,-0.3824248762699968,-0.808103083568165,0,0,0,0,0
520000,0,0.43,1.1,-0.45,0.8,1.8067204149872256,-0.31772610474785246,0.3027929631360232,-1.8244047756377002,1.6640272417259308,0.4188440360818119,-0.34325473790135447,-0.8410567878344044,0,0,0,0,0
520000,0,0.44,1.1,-0.45,0.8,1.8079659230085778,-0.3309360462451496,0.30817277714812247,-1.8160332910631698,1.6533827926969427,0.4612780448808832,-0.30380439800698794,-0.8733987397694049,0,0,0,0,0
520000,0,0.45,1.1,-0.45,0.8,1.8093855676016317,-0.3445467547834634,0.3131710214514156,-1.8083594638457778,1.6425629130108153,0.5038123483526308,-0.2640703197181529,-0.9052311181074839,0,0,0,0,0
520000,0,0.46,1.1,-0.45,0.8,1.8106685111282725,-0.3326035424149639,0.31797471400074917,-1.801386160675923,1.631660724614714,0.5464505118784829,-0.2240554778977611,-0.9363778413824351,0,0,0,0,0
520000,0,0.47000000000000003,1.1,-0.45,0.8,1.8120760632242487,-0.3434612362574276,0.32286819508706166,-1.7949305209171884,1.6205951102924894,0.5891962763707026,-0.18375366666448611,-0.9667736491306127,0,0,0,0,0
520000,0,0.48,1.1,-0.45,0.8,1.8134359409771381,-0.3366913232930818,0.32783627271426374,-1.7889899776716978,1.6095025191500556,0.6320075325363802,-0.1431935099289777,-0.9967670965073939,0,0,0,0,0
520000,0,0.49,1.1,-0.45,0.8,1.8148207957021816,-0.34125858284060173,0.33301601318289087,-1.78336295227151,1.5982681363027231,0.6748846927894255,-0.10238119325220096,-1.0261484458534014,0,0,0,0,0
520000,0,0.5,1.1,-0.45,0.8,1.8160997844507087,-0.3323694498232448,0.33831012555515316,-1.7780769388264979,1.5871028211543317,0.7177718116280652,-0.061368013408474996,-1.055074104562522,0,0,0,0,0
520000,0,0.51,1.1,-0.45,0.8,1.8173732223674333,-0.3317789083026509,0.3437244683281354,-1.7730659175456605,1.5760511694745991,0.760648056627103,-0.02018631561410083,-1.083450325882185,0,0,0,0,0
520000,0,0.52,1.1,-0.45,0.8,1.8186115599014097,-0.32872804391156835,0.3492136034502766,-1.7682416094724862,1.5651334174697578,0.8035015784988152,0.021137942098108757,-1.1115380346300046,0,0,0,0,0
520000,0,0.53,1.1,-0.45,0.8,1.8197503819446645,-0.3195448927856463,0.35478331417464637,-1.7635138838318105,1.5543915655247802,0.8463065163308384,0.06257203763726406,-1.1392628754774583,0,0,0,0,0
520000,0,0.54,1.1,-0.45,0.8,1.820811654068525,-0.3099866879750743,0.3603883608118569,-1.7588244889644713,1.543835188273835,0.8890234266606893,0.10408749155215068,-1.1665760008975978,0,0,0,0,0
520000,0,0.55,1.1,-0.45,0.8,1.8219061513805557,-0.31869667398085333,0.3659231574947385,-1.75425269179007,1.5336003485893566,0.9316080805245862,0.14563785929394293,-1.1935196544168714,0,0,0,0,0
520000,0,0.56,1.1,-0.45,0.8,1.822941942842832,-0.3134393879490086,0.37139747415909713,-1.7498056121683592,1.5237149545381998,0.9740569730495606,0.18720810421947107,-1.219788083138835,0,0,0,0,0
520000,0,0.5700000000000001,1.1,-0.45,0.8,1.8239366277510796,-0.3122048181665662,0.3767731110736519,-1.745636435037417,1.5144190171155902,1.0163508882434884,0.22875437950681587,-1.2454515017940873,0,0,0,0,0
520000,0,0.58,1.1,-0.45,0.8,1.8248902316470599,-0.3053901619986847,0.3821719856017327,-1.7417940893908,1.505733328875494,1.058480134478589,0.27027543210905997,-1.2702335920605394,0,0,0,0,0
520000,0,0.59,1.1,-0.45,0.8,1.8258341651143999,-0.29813044818179835,0.38761843589004313,-1.7384297303451501,1.497859172415322,1.1004240023268173,0.311729882841279,-1.2940110472954989,0,0,0,0,0
520000,0,0.6,1.1,-0.45,0.8,1.8268391527880576,-0.32546259772430247,0.39316285489561575,-1.7356303205886086,1.4909078625882521,1.142180013385077,0.35308386339962294,-1.3168881964013481,0,0,0,0,0
520000,0,0.61,1.1,-0.45,0.8,1.8278192643953957,-0.3018523712924206,0.3989009662185848,-1.7333888190289732,1.4849095579862552,1.1837460436812244,0.3943244630580656,-1.3386855920836032,0,0,0,0,0
520000,0,0.62,1.1,-0.45,0.8,1.8288323967732414,-0.30363121755758116,0.404911430086196,-1.7317188844705502,1.479912794236764,1.2251201384090231,0.4354322763631746,-1.3594590678470004,0,0,0,0,0
520000,0,0.63,1.1,-0.45,0.8,1.829822807292976,-0.3005557116299983,0.41128029743047556,-1.7306098376541972,1.4758884559993326,1.2663073373062144,0.476403218339725,-1.3792779846318874,0,0,0,0,0
520000,0,0.64,1.1,-0.45,0.8,1.8306321944918837,-0.2833539555128686,0.41810963314662775,-1.7300420928737428,1.472809162477214,1.3073249121294022,0.5172348639898375,-1.3981065974048512,0,0,0,0,0
520000,0,0.65,1.1,-0.45,0.8,1.8312697101566904,-0.2664670235033418,0.4254288934532056,-1.7301077791381774,1.470823675652858,1.348198199167323,0.5578576994294719,-1.4161615620556371,0,0,0,0,0
520000,0,0.66,1.1,-0.45,0.8,1.8316049432925223,-0.23668514985104072,0.4332924210087098,-1.7307174646149797,1.4697529873208877,1.388869634377355,0.5982675807391928,-1.4335401078494976,0,0,0,0,0
520000,0,0.67,1.1,-0.45,0.8,1.8317497302862797,-0.21968572672801917,0.44187281860220573,-1.7316489161715651,1.469259235587295,1.429361420879471,0.6385047218020573,-1.4502790904516183,0,0,0,0,0
520000,0,0.68,1.1,-0.45,0.8,1.831646320928675,-0.20309137221099796,0.4512470410504739,-1.7326517724693706,1.4688932223730964,1.4697469930982123,0.6786321384974708,-1.4666073692639654,0,0,0,0,0
520000,0,0.6900000000000001,1.1,-0.45,0.8,1.831385184930777,-0.18521164616944918,0.461412738245345,-1.7334949743929593,1.4683201936804948,1.5100849595422285,0.7186803577984785,-1.4825761642163275,0,0,0,0,0
520000,0,0.7000000000000001,1.1,-0.45,0.8,1.8310457118517292,-0.17467252867261837,0.4723587243101459,-1.7340258685099983,1.4673882719271403,1.5504258878661805,0.7586589013378231,-1.4980817552095167,0,0,0,0,0
520000,0,0.71,1.1,-0.45,0.8,1.8306766838141435,-0.1709327302779456,0.4840832177410337,-1.7340557054119543,1.465827148303654,1.5908018346378197,0.7985677696171675,-1.5132385229342138,0,0,0,0,0
