elapsed_time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,reward,distance,whip_target_contact,valid_side_hit,arm_tip_ground_hit,robot_ground_contact,arm_self_contact
0.000000,3.183246031004,-1.971658917189,1.431993417832,-0.847795348520,-1.622030419358,-0.005039906949,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.018000,3.237654698069,-2.026124951407,1.378040346960,-0.793251762213,-1.679316675170,0.022799787405,-0.14693238320348118,1.8078206604368483,0,0,0,0,0
0.036000,3.276668590051,-2.067474733060,1.336919896734,-0.753961856166,-1.723092994661,0.046058986170,-0.15670955591287872,1.807793643318458,0,0,0,0,0
0.054000,3.316658286930,-2.114132284046,1.291001672258,-0.712773169146,-1.772604559868,0.072167623700,-0.1530251032726347,1.807741838240391,0,0,0,0,0
0.072000,3.349667314802,-2.160731910565,1.245762780352,-0.676922687490,-1.822276811902,0.095147662350,-0.14791940481187704,1.8075860767343246,0,0,0,0,0
0.090000,3.373828143988,-2.207582001530,1.201007259150,-0.647999562532,-1.872610297191,0.110988061461,-0.1442523276188592,1.8073412439770213,0,0,0,0,0
0.108000,3.387541801657,-2.253706670722,1.157115430268,-0.628617004564,-1.922797995297,0.117124295787,-0.1434248962381143,1.8069994058388945,0,0,0,0,0
0.126000,3.391343118038,-2.298938067626,1.114017573494,-0.620117947630,-1.972799217512,0.114715744147,-0.12206481110593571,1.8064288008595375,0,0,0,0,0
0.144000,3.387143528034,-2.343247501363,1.071152296843,-0.622248582392,-2.022549925870,0.108115146028,-0.10002057358418572,1.8056258303981576,0,0,0,0,0
0.162000,3.375584218190,-2.387086130975,1.028415196493,-0.634783237212,-2.071866795861,0.101835443096,-0.060170289574460106,1.8043668669674537,0,0,0,0,0
0.180000,3.356497228005,-2.431358896156,0.985332940159,-0.656857548449,-2.120420407580,0.097544398545,-0.007518248736381128,1.8024862974371596,0,0,0,0,0
0.198000,3.328992047462,-2.477474565565,0.941863721724,-0.687984532437,-2.167933878268,0.093786650239,0.05942830448512881,1.7998860321265073,0,0,0,0,0
0.219852,3.293513296409,-2.525973984228,0.897589459760,-0.726005151657,-2.214351636727,0.090091264827,0.14088950481131463,1.7964296381723024,0,0,0,0,0
0.252667,3.251460528619,-2.576546439632,0.852386918271,-0.768106817166,-2.260049084937,0.088685073157,0.2419670001212766,1.7918418853443714,0,0,0,0,0
0.302667,3.204879749034,-2.628055787593,0.806065276468,-0.810758613827,-2.305629721950,0.093775392418,0.38692656440109713,1.7856228523256847,0,0,0,0,0
0.375185,3.155574464392,-2.679722579904,0.758852397931,-0.852454205011,-2.351792559650,0.106546218649,0.5829645119129703,1.7771869124915427,0,0,0,0,0
0.474667,3.104826159005,-2.730956679923,0.711590436894,-0.893600760780,-2.398726111450,0.125471302917,0.8446325913774924,1.7657946114143603,0,0,0,0,0
0.604667,3.053395435228,-2.781240040404,0.665628374416,-0.936158505622,-2.446326373958,0.146663764417,1.2573005139307958,1.7498395458384215,0,0,0,0,0
0.767852,3.001643005789,-2.829960677986,0.622971953235,-0.980642987715,-2.494232321016,0.167722459435,2.1748073013599063,1.7236625284057365,0,0,0,0,0
0.966000,2.949720416839,-2.876896668588,0.584990413712,-1.025504648039,-2.542473323013,0.187468638321,4.1415517445601555,1.6755749608157222,0,0,0,0,0
1.200000,2.897668994756,-2.922435770646,0.553379022235,-1.067906162214,-2.591316006977,0.207149882846,4.622987366823931,1.6189141071161977,0,0,0,0,0
1.469852,2.845491201444,-2.967214359513,0.529698530087,-1.105844146449,-2.641142058062,0.228844995289,8.834770170583077,1.5759322059297372,0,0,0,0,0
1.774667,2.793197629162,-3.011707509031,0.516801871551,-1.139579716208,-2.691994604163,0.255149583750,6.40766803243109,1.5444954158300193,0,0,0,0,0
2.112667,2.740821061143,-3.056089023935,0.515771092291,-1.170525118636,-2.743610556925,0.287570246248,4.632859738929492,1.5214926146768772,0,0,0,0,0
2.481185,2.688402991816,-3.100709322590,0.524986913462,-1.200803904119,-2.795603858557,0.326360928880,3.269633418172443,1.5050128894332957,0,0,0,0,0
2.876667,2.635975740632,-3.145928956202,0.538940819098,-1.231570735203,-2.847722867439,0.370334123395,2.1697695444251206,1.4937474024277213,0,0,0,0,0
3.294667,2.584203692186,-3.191449025658,0.552033850820,-1.263376755758,-2.899225917005,0.417099676099,1.290851939436526,1.4866686280252641,0,0,0,0,0
3.729852,2.532445711623,-3.237663091861,0.561171111629,-1.297027645088,-2.950735447273,0.465591448358,0.5963226250570146,1.4828846621963434,0,0,0,0,0
4.176000,2.486520517819,-3.279009808516,0.566302726477,-1.328361321814,-2.996447050366,0.509213643780,0.06569711770483799,1.4816131376378145,0,0,0,0,0
4.626000,2.426377679604,-3.333342194081,0.570383682791,-1.371493942941,-3.056305234828,0.566651662588,-0.24721357190413587,1.4821177484676378,0,0,0,0,0
5.626000,2.426377679604,-3.333342194081,0.570383682791,-1.371493942941,-3.056305234828,0.566651662588,-0.24721357190413587,1.4821177484676378,0,0,0,0,0
