elapsed_time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,reward,distance,whip_target_contact,valid_side_hit,arm_tip_ground_hit,robot_ground_contact,arm_self_contact
0.01,0.04165337741374969,-1.971658917189242,1.4319934178324463,-0.8477953485199003,-1.6220304193582873,-0.005039906948804854,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.02,0.09018868178129197,-2.0236624814277904,1.384865131023717,-0.7962607202478438,-1.6732108453896384,0.015367162674665445,-0.14693238320348118,1.8078206604368483,0,0,0,0,0
0.03,0.13926643431186675,-2.0632168653315324,1.3382282231183769,-0.7517389527507811,-1.721142815896545,0.036830802708864206,-0.15670955591287872,1.807793643318458,0,0,0,0,0
0.04,0.18860572278499602,-2.111912152290942,1.2916885752411604,-0.7034729886599569,-1.7701882683720926,0.07094682052731513,-0.1530251032726347,1.807741838240391,0,0,0,0,0
0.05,0.21170448035001754,-2.1621482757931965,1.2406727724703073,-0.6748805994339971,-1.8225171863522867,0.11812278762459753,-0.14791940481187704,1.8075860767343246,0,0,0,0,0
0.06,0.2529504865407944,-2.2090567300921697,1.2026344258518933,-0.6309217891641645,-1.8745920660581925,0.12556837275624275,-0.1442523276188592,1.8073412439770213,0,0,0,0,0
0.07,0.27541438311338423,-2.258110437512996,1.1541276320250748,-0.6035818735309629,-1.9219100757923462,0.12475098296999931,-0.1434248962381143,1.8069994058388945,0,0,0,0,0
0.08,0.23995683029294013,-2.294613404989841,1.1151634078653574,-0.6175977504797964,-1.9730106998470165,0.13517073288559914,-0.12206481110593571,1.8064288008595375,0,0,0,0,0
0.09,0.257719482332468,-2.3449299062496447,1.0691683892341375,-0.601252358014205,-2.022664355286632,0.10545506089925766,-0.10002057358418572,1.8056258303981576,0,0,0,0,0
0.1,0.24735578343272205,-2.396419698715808,1.0317560165556192,-0.6261176488348036,-2.0729194107141833,0.07256741523742676,-0.060170289574460106,1.8043668669674537,0,0,0,0,0
0.11,0.2251385588943958,-2.4200937646335383,0.9827412963839293,-0.6421780610629111,-2.1233129758622984,0.09830736100673676,-0.007518248736381128,1.8024862974371596,0,0,0,0,0
0.12,0.20142541810870168,-2.472038680583837,0.9453330887289763,-0.6757467835196047,-2.1677187391605717,0.12240935415029526,0.05942830448512881,1.7998860321265073,0,0,0,0,0
0.13,0.1612113270163536,-2.5242777923947592,0.8971937432320833,-0.7197397463568239,-2.217048552283321,0.08925316616892814,0.14088950481131463,1.7964296381723024,0,0,0,0,0
0.14,0.11455237671732903,-2.576493093789222,0.8548267386289359,-0.7686665723272352,-2.262383394339357,0.052305411100387576,0.2419670001212766,1.7918418853443714,0,0,0,0,0
0.15,0.06637937933206559,-2.628341572702529,0.8087482943566562,-0.8156871380456476,-2.300280546345983,0.09189028322696687,0.38692656440109713,1.7856228523256847,0,0,0,0,0
0.16,0.015235906541347509,-2.679932721377017,0.7580144458444835,-0.8636753754862337,-2.3523852884259564,0.0966921329498291,0.5829645119129703,1.7771869124915427,0,0,0,0,0
0.17,-0.036353486627340316,-2.7314133169955035,0.7123617351980926,-0.8816719635375528,-2.397107571610485,0.12167635381221771,0.8446325913774924,1.7657946114143603,0,0,0,0,0
0.18,-0.08775790080428122,-2.7828209417766354,0.6609162559540989,-0.9294178285249262,-2.4457839329030855,0.14787577897310256,1.2573005139307958,1.7498395458384215,0,0,0,0,0
0.19,-0.1399530404806137,-2.8347725230163356,0.6163173901470425,-0.9789673239537268,-2.4954932701077803,0.17718760639429093,2.1748073013599063,1.7236625284057365,0,0,0,0,0
0.2,-0.19177315592765806,-2.8813487329787035,0.5702017203899147,-1.0297937730499296,-2.542107663103615,0.18604264676570892,4.1415517445601555,1.6755749608157222,0,0,0,0,0
0.21,-0.24360950589179992,-2.9197933837479373,0.5530967665644408,-1.0802773039587525,-2.588312679031168,0.20481392920017244,4.622987366823931,1.6189141071161977,0,0,0,0,0
0.22,-0.29592951491475106,-2.9660244756644984,0.5152548144193412,-1.1124557878621606,-2.6392422867801533,0.2218316960334778,8.834770170583077,1.5759322059297372,0,0,0,0,0
0.23,-0.3482918156683445,-3.015184815198781,0.4963998247118712,-1.144612758214095,-2.691186980554138,0.2453714516758919,6.40766803243109,1.5444954158300193,0,0,0,0,0
0.24,-0.4007410123944283,-3.055170296252372,0.4849929266603709,-1.1643303302475003,-2.743572684922491,0.2761667409539223,4.632859738929492,1.5214926146768772,0,0,0,0,0
0.25,-0.45319531917572026,-3.100300141543748,0.5243870651157618,-1.206671969199994,-2.7957199158754693,0.3182493567466736,3.269633418172443,1.5050128894332957,0,0,0,0,0
0.26,-0.5056426727771759,-3.1419450074142237,0.5481134551199198,-1.2252588640697986,-2.847468543746744,0.36695879101753237,2.1697695444251206,1.4937474024277213,0,0,0,0,0
0.27,-0.5580594380199909,-3.1917976545995494,0.5609746598633052,-1.261066113019803,-2.8998467128959047,0.4172574931383133,1.290851939436526,1.4866686280252641,0,0,0,0,0
0.28,-0.6104547867178917,-3.2398082849091314,0.5698325102957011,-1.2973887359150438,-2.9522102184083807,0.46585572659969327,0.5963226250570146,1.4828846621963434,0,0,0,0,0
0.29,-0.6628533272445202,-3.2849584577685618,0.5636927335890056,-1.3284775983341721,-3.004114848473345,0.5166358816623687,0.06569711770483799,1.4816131376378145,0,0,0,0,0
0.3,-0.7152149739861489,-3.3333421940809513,0.5703836827905895,-1.3714939429410484,-3.056305234828268,0.5666516625881195,-0.24721357190413587,1.4821177484676378,0,0,0,0,0
0.31,-0.7676346306502819,-3.374173938453796,0.5335291009577038,-1.4145000611790206,-3.1076002005722865,0.618189144730568,-0.3438764226918453,1.4836957795556094,0,0,0,0,0
0.32,-0.8200453282892705,-3.4069606660014413,0.5109063514502765,-1.464488117004254,-3.1597997274484975,0.67019422352314,-0.3774075308757897,1.4856039496779907,0,0,0,0,0
0.33,-0.8724305820465088,-3.443176913381221,0.5013915538223507,-1.5145510306008843,-3.210254951217447,0.722226026058197,-0.33772073002754577,1.4870342082639096,0,0,0,0,0
0.34,-0.924897922128439,-3.4733030576711914,0.4840572639735462,-1.5581643723495988,-3.262256296822105,0.7740291434526443,-0.2116784286901925,1.487038213082407,0,0,0,0,0
0.35000000000000003,-0.977373482733965,-3.4860135705477022,0.4943166276248218,-1.6085711992331533,-3.3135700818386415,0.8258048424124718,0.036211409630615976,1.4842496692123022,0,0,0,0,0
0.36,-1.029858014881611,-3.49702902522743,0.46844572925884737,-1.6593725424059418,-3.3657280492272714,0.8779009321331978,1.2689374897257746,1.4756792078039052,0,0,0,0,0
0.37,-1.0823518659174443,-3.48722412791908,0.42308123135883824,-1.7020139848240403,-3.418018430569444,0.9297901976108551,4.581282803059284,1.4528427873383538,0,0,0,0,0
0.38,-1.134844305664301,-3.4689263188546917,0.37792656803448216,-1.7453128688581971,-3.4703495233741144,0.9821694964170457,9.303655110229455,1.4075210936974472,0,0,0,0,0
0.39,-1.1873346738517285,-3.4280755674546977,0.33665575006921306,-1.7484349936791448,-3.522794911810432,1.032901273369789,10.707783396827358,1.3539691074571474,0,0,0,0,0
0.4,-1.239723532497883,-3.385703014702203,0.309796573910308,-1.7323795819827108,-3.575285733738218,1.0847279539704322,10.98462295134062,1.298144587848032,0,0,0,0,0
0.41000000000000003,-1.2921426102519038,-3.3379545336669705,0.33763753155190956,-1.7051534769483594,-3.6277726973083357,1.1363694521784782,55.2217733162384,1.2417918553167455,0,0,0,0,0
0.42,-1.344511034935713,-3.2882062154716274,0.36488770047147284,-1.667535735125163,-3.68026502127317,1.185892552435398,54.6308688241074,1.1858549485122518,0,0,0,0,0
0.43,-1.396818260997534,-3.2376057165569088,0.3993483231397391,-1.627072127515891,-3.732762123593364,1.2296495327353476,53.359886914282356,1.131017886184595,0,0,0,0,0
0.44,-1.4490900139510632,-3.186622498602273,0.4228322593303443,-1.586597811634162,-3.785258881696735,1.276350011229515,51.68000114935389,1.0776369460063449,0,0,0,0,0
0.45,-1.501315075457096,-3.1383870196050427,0.4505624354811431,-1.5680666924067526,-3.8377252079036577,1.3200164249539375,50.372386862414565,1.0251627195756532,0,0,0,0,0
0.46,-1.553623393625021,-3.087543128103616,0.4198875626357318,-1.569391830170968,-3.8901865961637836,1.366580236852169,51.78219422801055,0.9704101695926927,0,0,0,0,0
0.47000000000000003,-1.6058195753395557,-3.035914140612485,0.4159811397822619,-1.5405695604332474,-3.9426597503807885,1.4137516728043555,62.871059542609956,0.9026048102633806,0,0,0,0,0
0.48,-1.658048003911972,-2.9837046783870482,0.4145899123879195,-1.4911248164423494,-3.995155591615711,1.453437531888485,92.34063812661114,0.8024577581012055,0,0,0,0,0
0.49,-1.7099955515563487,-2.9312609547084594,0.4268580315442801,-1.442563483024457,-4.0476553600516665,1.4681493338942526,140.9113824810777,0.676885748223445,0,0,0,0,0
0.5,-1.7620943543314933,-2.8789341270631574,0.38434269452412134,-1.3916456850417642,-4.100155294337545,1.5083565938472747,165.99740141761185,0.5439754970123871,0,0,0,0,0
0.51,-1.813272295743227,-2.8289640205806514,0.37921192998011116,-1.3425927098639994,-4.152649733671223,1.5545624014735222,145.2707428530189,0.41237558979166006,0,0,0,0,0
0.52,-1.859723792821169,-2.786989870638253,0.3450281671615363,-1.3123438929565936,-4.205137742408787,1.604760686159134,134.25409840829556,0.2859364115471415,0,0,0,0,0
0.53,-1.890014610439539,-2.767889172703626,0.29301188567597874,-1.2713728784569294,-4.255458255359207,1.6511610764265061,171.02175510270678,0.17047808591630093,0,0,0,0,0
0.54,-1.8858320756256581,-2.754104202658536,0.24581607917268283,-1.249451492632249,-4.307316118874822,1.6983718156814576,129.84909806409757,0.09752678156919693,0,0,0,0,0
0.55,-1.888034027516842,-2.7443271618789455,0.19510623196084506,-1.2155965914376767,-4.359473469802413,1.7452882182598115,-31.560234648332294,0.15969923985929615,0,0,0,0,0
0.56,-1.866306266784668,-2.7397940203255438,0.16318992862422474,-1.2000628935345206,-4.411802772679601,1.7771516311168671,-36.203960669865566,0.29805339055637986,0,0,0,0,0
0.5700000000000001,-1.8524197715520858,-2.7531659114068767,0.13424139702637203,-1.19273366620622,-4.464014272042785,1.8228513836860658,-2.7674420026388575,0.4588384909153464,0,0,0,0,0
0.58,-1.8291201603412628,-2.775413902670743,0.10724107006509312,-1.1749894266375096,-4.516006721207176,1.8695969608426095,-2.8506502749017617,0.6287103195949286,0,0,0,0,0
0.59,-1.825845087468624,-2.8067495184844753,0.05864370027501591,-1.1525026052244693,-4.568229060271059,1.9218331155180932,-2.8870142152494385,0.8006158105542781,0,0,0,0,0
0.6,-1.811383287012577,-2.8454327521926186,0.029203063789200866,-1.1307845138557941,-4.620353078493152,1.9739876219630244,-2.8966785079490527,0.9721532061778013,0,0,0,0,0
0.61,-1.7822461339831353,-2.8966977992361804,-0.02229519328157893,-1.1153444617041142,-4.672384458580289,2.0264402577281,-2.8965917560935277,1.142599892998667,0,0,0,0,0
0.62,-1.7346203005313874,-2.9453752463763974,-0.07440245440285198,-1.1533436427064927,-4.724746239879404,2.078939068615437,-2.894504767570784,1.2750198745872878,0,0,0,0,0
0.63,-1.6966392973065376,-2.9976638596957943,-0.09782112395446294,-1.2030191684313805,-4.776176776984011,2.131416513025761,-2.896352944015961,1.306271703334341,0,0,0,0,0
0.64,-1.7489268216490745,-2.997574432165029,-0.045789046045947,-1.189640261585334,-4.828602279075657,2.183911944329739,0.11173560322457682,1.3027642391816965,0,0,0,0,0
0.65,-1.799917465299368,-3.018920199841859,0.0034643759759188375,-1.2349384195157083,-4.881019097515617,2.2364026317000394,0.059764343007934595,1.2999584985128456,0,0,0,0,0
0.66,-1.8350450581312179,-3.0564532048708224,0.044314032140564986,-1.2756650557168516,-4.9334079029646265,2.2888615635037426,-2.1009785299969397,1.3211731394430741,0,0,0,0,0
0.67,-1.8507510772347449,-3.1046590374118113,0.08526202166397578,-1.3217720230468306,-4.984922538497721,2.3412905359268192,-2.891473564227913,1.3752286315210829,0,0,0,0,0
0.68,-1.8870938524603842,-3.1551663724786065,0.11535002672989375,-1.3461666630753073,-5.0366607240822665,2.393690450191498,-2.8929469738282534,1.4511388055830166,0,0,0,0,0
0.6900000000000001,-1.9375654922425745,-3.207461920202377,0.12193533891756542,-1.3574141136356386,-5.088278195956026,2.4461536565423017,-2.895609126294272,1.5403888486157435,0,0,0,0,0
0.7000000000000001,-1.9878689101338385,-3.2598302697843335,0.09223142975885876,-1.3982697216220887,-5.139934755214726,2.498587053716183,-2.890521116432761,1.6384762130890278,0,0,0,0,0
0.71,-2.0371400780975817,-3.3112636325961375,0.11206664884407527,-1.448707703257421,-5.191899260231529,2.551057250797749,-2.8915949790532163,1.742970048671246,0,0,0,0,0
0.72,-2.087954714298248,-3.3633416352874064,0.08842937657554156,-1.4907440688260587,-5.243734909245048,2.6034517639875414,-2.891957415949697,1.8524431347242714,0,0,0,0,0
0.73,-2.137627658396959,-3.4149073400801444,0.07904458025414951,-1.4866264282711537,-5.294931153604065,2.655876899957657,-2.898197477715111,1.9653916601576502,0,0,0,0,0
0.74,-2.187684904932975,-3.466855313301685,0.07796331385095126,-1.5299459215053113,-5.346836928972278,2.7081465375423432,-2.8988423019531124,2.080090733352759,0,0,0,0,0
0.75,-2.235446059405803,-3.5184630062884117,0.05043689841349132,-1.569711360389808,-5.397390041747366,2.7600798001885414,-2.89611531182704,2.195260260434303,0,0,0,0,0
0.76,-2.281317266374826,-3.569759408355358,0.005760033074212148,-1.6197791524776015,-5.449217952140843,2.811809774637222,-2.8925056717798174,2.3121589211449303,0,0,0,0,0
0.77,-2.332640032321214,-3.6210943032509113,-0.038724477645564005,-1.6663040929087196,-5.501469443240438,2.864144550561905,-2.8918763869774837,2.4148180364056966,0,0,0,0,0
