elapsed_time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,reward,distance,whip_target_contact,valid_side_hit,arm_tip_ground_hit,robot_ground_contact,arm_self_contact
0.000000,0.041653377414,-1.971658917189,1.431993417832,-0.847795348520,-1.622030419358,-0.005039906949,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.008000,0.046169899379,-1.976097619264,1.427648787347,-0.843248690777,-1.626659344545,-0.002994079582,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.016000,0.050686421345,-1.980536321339,1.423304156861,-0.838702033034,-1.631288269732,-0.000948252214,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.024000,0.055202943310,-1.984975023414,1.418959526376,-0.834155375292,-1.635917194919,0.001097575153,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.032000,0.059719465276,-1.989413725489,1.414614895890,-0.829608717549,-1.640546120106,0.003143402520,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.040000,0.064235987241,-1.993852427564,1.410270265404,-0.825062059806,-1.645175045293,0.005189229887,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.048000,0.068752509207,-1.998291129639,1.405925634919,-0.820515402064,-1.649803970480,0.007235057255,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.056000,0.073269031172,-2.002729831714,1.401581004433,-0.815968744321,-1.654432895667,0.009280884622,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.064000,0.077785553137,-2.007168533789,1.397236373948,-0.811422086578,-1.659061820853,0.011326711989,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.072000,0.082302075103,-2.011607235864,1.392891743462,-0.806875428835,-1.663690746040,0.013372539356,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.080000,0.086818597068,-2.016045937939,1.388547112976,-0.802328771093,-1.668319671227,0.015418366724,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.088000,0.091335119034,-2.020484640014,1.384202482491,-0.797782113350,-1.672948596414,0.017464194091,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.096000,0.095851640999,-2.024923342089,1.379857852005,-0.793235455607,-1.677577521601,0.019510021458,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.104000,0.100371161997,-2.029494909714,1.375187945883,-0.788769296639,-1.682473528842,0.022233639508,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.112000,0.104890682995,-2.034066477339,1.370518039762,-0.784303137670,-1.687369536083,0.024957257559,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.120000,0.109410203993,-2.038638044964,1.365848133640,-0.779836978702,-1.692265543324,0.027680875609,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.128000,0.113929724991,-2.043209612589,1.361178227518,-0.775370819733,-1.697161550565,0.030404493660,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.136000,0.118449245989,-2.047781180213,1.356508321397,-0.770904660765,-1.702057557806,0.033128111710,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.144000,0.122968766987,-2.052352747838,1.351838415275,-0.766438501797,-1.706953565047,0.035851729761,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.152000,0.127488287985,-2.056924315463,1.347168509153,-0.761972342828,-1.711849572287,0.038575347811,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.160000,0.132007808983,-2.061495883088,1.342498603031,-0.757506183860,-1.716745579528,0.041298965861,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.168000,0.136527329981,-2.066067450713,1.337828696910,-0.753040024891,-1.721641586769,0.044022583912,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.176000,0.140387453175,-2.070356126412,1.333585353491,-0.749135786060,-1.726196267983,0.046724401311,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.184000,0.144247576369,-2.074644802111,1.329342010073,-0.745231547229,-1.730750949196,0.049426218709,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.192000,0.148107699562,-2.078933477811,1.325098666655,-0.741327308399,-1.735305630410,0.052128036108,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.200000,0.151967822756,-2.083222153510,1.320855323237,-0.737423069568,-1.739860311623,0.054829853507,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.208000,0.155827945949,-2.087510829209,1.316611979818,-0.733518830737,-1.744414992837,0.057531670905,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.216000,0.159688069143,-2.091799504908,1.312368636400,-0.729614591906,-1.748969674050,0.060233488304,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.224000,0.163548192337,-2.096088180608,1.308125292982,-0.725710353075,-1.753524355264,0.062935305703,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.232000,0.167408315530,-2.100376856307,1.303881949563,-0.721806114244,-1.758079036477,0.065637123102,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.240000,0.171268438724,-2.104665532006,1.299638606145,-0.717901875413,-1.762633717691,0.068338940500,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.248000,0.175128561918,-2.108954207705,1.295395262727,-0.713997636582,-1.767188398904,0.071040757899,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
0.256000,0.178988685111,-2.113242883405,1.291151919308,-0.710093397751,-1.771743080118,0.073742575298,-2.8600924486850468,1.8079180873824736,0,0,0,0,0
