shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,elapsed_time
0.0006876192004016777,-1.9138147025375691,1.4876776146804378,-0.8611423590182145,-1.5552337304168786,-0.0009014279068618131,0.01
0.002150814374229234,-1.9152461261175113,1.4857940128901326,-0.8634953450844085,-1.5544942216322164,-0.0030014783605731617,0.02
0.004393119953381647,-1.9176420674738752,1.4827719271715203,-0.8670764071920055,-1.553401250505712,-0.0062737531322754995,0.03
0.0074202863184770615,-1.9209206209586696,1.4786472674101419,-0.8718664926351402,-1.5519292569795369,-0.010646861872133777,0.04
0.011227765049084702,-1.9249856946111013,1.473475702620392,-0.8777308198035327,-1.550054290491995,-0.016075485445397483,0.05
0.01580355051939416,-1.9297062716797169,1.4672844482304395,-0.884713211860245,-1.547738955897863,-0.022510330217215897,0.06
0.02115610226245073,-1.9349518531144472,1.4601642510050672,-0.892620555788078,-1.5449391453920096,-0.029885484569211807,0.07
0.027272508938731743,-1.9405600751667151,1.4521258937445876,-0.9015288485305524,-1.5416048013322683,-0.038165697561108755,0.08
0.03414108297367141,-1.946373771988807,1.4432462993865698,-0.9112954965043378,-1.5376965900666586,-0.047243397845335725,0.09
0.04173242059800177,-1.9522276152863052,1.4335849534489908,-0.9218123360791669,-1.5331711852736198,-0.05703050744008772,0.1
0.050008717583429965,-1.957914310754925,1.423153936454106,-0.9331134792970458,-1.5279641601943763,-0.06745088765164335,0.11
0.058939182509024156,-1.9632148132585594,1.4120275677393712,-0.9450404760913282,-1.5220229469963364,-0.07834401983600729,0.12
0.06847470430763511,-1.9679441025259108,1.4002631271462374,-0.9575348254317398,-1.5153178217306362,-0.08956658936796405,0.13
0.07851556347601313,-1.9719884581878189,1.387932549952227,-0.970533966056741,-1.5078416429654429,-0.10088843618069851,0.14
0.08893688453002499,-1.975298312483831,1.375068741911549,-0.9840059832643584,-1.499653494498305,-0.11199632264364576,0.15
0.09955549776604657,-1.9778945440716182,1.3617386962136833,-0.9979161567948912,-1.4908063860877172,-0.12261283466014869,0.16
0.11032142000855184,-1.979894196871603,1.348022051041008,-1.0121920533194442,-1.4813675158905433,-0.1327422750563865,0.17
0.12131353293968532,-1.9815505761654635,1.334022097546959,-1.02670733970373,-1.4713732459857922,-0.1425228601693124,0.18
0.13258460076451403,-1.9833077908360073,1.3198680684662663,-1.0413219204529738,-1.4608463528067195,-0.1521200509728651,0.19
0.14422545878965815,-1.9855708105985679,1.3055425755825156,-1.055816861818417,-1.4498304221118885,-0.1618234445379633,0.2
0.1562913588676034,-1.988656876558243,1.2910313277074748,-1.0700834451873573,-1.4383556785676141,-0.17194219038512035,0.21
0.1688139986417471,-1.9927562898242086,1.2763132973661313,-1.0840645771183248,-1.4264356316384315,-0.18269206376251967,0.22
0.18181508424830234,-1.9979526093893716,1.261371518385976,-1.097782290414899,-1.4140451888223484,-0.19415519557205507,0.23
0.1953101282307825,-2.0042708107705387,1.2462141680943963,-1.111396641310962,-1.4011129964270452,-0.20633618780947707,0.24
0.2093629921985421,-2.011705992300922,1.2308928054714923,-1.125051088236118,-1.3875843142410125,-0.21920983004511546,0.25
0.22400802546860668,-2.0202311754468325,1.215413432183746,-1.1389389674934567,-1.3734183890473994,-0.23276993905932805,0.26
0.23926248524213897,-2.0298062837847737,1.1998118042253194,-1.1531403813586067,-1.358599238306114,-0.24697036654912985,0.27
0.25512762461855487,-2.0404109898662406,1.1841686629260966,-1.1677449507004176,-1.3431240046620145,-0.26177316504879217,0.28
0.2715805197936525,-2.0520172440735798,1.1686121257629694,-1.1827841844996705,-1.327001046687115,-0.2771271953608333,0.29
0.2885904634462337,-2.06458921684871,1.1533122899794654,-1.1981600528935332,-1.3102608231182442,-0.29292011519717825,0.3
0.30609366787065645,-2.078100133823277,1.1384226694462838,-1.213815339528406,-1.292926978194585,-0.30903501158142443,0.31
0.324017284450618,-2.0924817487875877,1.1239597811459447,-1.2297140827510273,-1.2750234427677558,-0.3253160221845102,0.32
0.3422845906034976,-2.1076619092951736,1.1098388013688771,-1.2458548308565895,-1.2565707201652492,-0.34157728923843156,0.33
0.3608156344482718,-2.123592934596042,1.0959869047007078,-1.262122486656531,-1.2376131947383553,-0.35754592205085756,0.34
0.37954319959828,-2.140232272780638,1.082250588257755,-1.2786206709726924,-1.2181543933219738,-0.3730416885172918,0.35000000000000003
0.39835386659873817,-2.157569008420643,1.068695178278638,-1.295212013978007,-1.1982472175972874,-0.3877927802852465,0.36
0.4171004613407506,-2.175598216876816,1.0553717608782993,-1.311804848926056,-1.1779316068743977,-0.40175035094979855,0.37
0.4356676847352632,-2.1942714410812214,1.0422895721159642,-1.3282743397894587,-1.157262762728466,-0.4148746873455867,0.38
0.45396626776385574,-2.213548056847704,1.0294634780408918,-1.3444595307657288,-1.136324207953227,-0.427123685674566,0.39
0.471917965905132,-2.2333944102385623,1.0168695844363413,-1.360181405763411,-1.1152247204549457,-0.43852785267611666,0.4
0.4894605343031685,-2.2537922058585043,1.004563689004219,-1.375121538005533,-1.0940694287317276,-0.4490942841763006,0.41000000000000003
0.5065367034156317,-2.274713529979292,0.9925691581240026,-1.3890609034873158,-1.0729411870166579,-0.4589006618195571,0.42
0.5231074056594816,-2.296123901144699,0.980952314293183,-1.4017378409176127,-1.0519373599819792,-0.46806071485618955,0.43
0.5390393602082048,-2.3180410392403563,0.9698973879016908,-1.41298179125278,-1.0311342101728194,-0.4768188018933042,0.44
0.5542395622088434,-2.3404195218089354,0.9595405878751687,-1.422774864050398,-1.010609529494121,-0.4855067657330317,0.45
0.5685600472621967,-2.3632324970091223,0.950113939339258,-1.4309754454108745,-0.9907778577570164,-0.49420408374532826,0.46
0.5818109180863984,-2.3864418657391795,0.9417966162603199,-1.4377113147548302,-0.9719911844167166,-0.5026855663785663,0.47000000000000003
0.5937715058443791,-2.4099101301667365,0.9346992393118019,-1.4429707451873937,-0.9546243624180494,-0.5106373693342948,0.48
0.6043462234480925,-2.4334306334746034,0.9288415947222669,-1.4467088563597412,-0.9390299737561526,-0.5178565370594079,0.49
0.6136936634696916,-2.4568230316294697,0.9243136644107491,-1.4490107242599977,-0.9249800510382424,-0.5241376298500743,0.5
0.6219889258049126,-2.4798743052509513,0.9211538322982774,-1.4499449107054136,-0.9121016717048323,-0.5292569297530149,0.51
0.6293446854168236,-2.5022509767448633,0.9192916748498045,-1.4495648704247426,-0.8999906215677755,-0.533056955206671,0.52
0.6359846395840547,-2.5235880169982354,0.9186576030145585,-1.447911764798487,-0.8883690710747657,-0.5354430930962103,0.53
0.6421635818046498,-2.543595260826707,0.919101552978843,-1.4450326370142808,-0.8772864782207325,-0.5364013111351229,0.54
0.6480162935029209,-2.5620230358211367,0.9202945982393628,-1.4409412951287022,-0.8673007708156978,-0.5359755042994439,0.55
0.6534124268841809,-2.578629723821111,0.9217644329885125,-1.4356485647536559,-0.8588204748350313,-0.5342150847159907,0.56
0.6582130097809028,-2.5932982067448607,0.9231440796782572,-1.4291730618447185,-0.8520130068716316,-0.5311785775584422,0.5700000000000001
0.6623489139415898,-2.606003012519372,0.9240036259575919,-1.4215676631689633,-0.8469056339796749,-0.5269181928856508,0.58
0.6656406471237617,-2.6167809001728575,0.9239913565523109,-1.412897531960449,-0.8434611471574374,-0.5214820593912189,0.59
0.6678347902172429,-2.6256696612171444,0.9228897212172743,-1.4032438285180087,-0.8416119975712655,-0.5149360775903683,0.6
0.668808519715355,-2.632706879661853,0.9206160746600254,-1.392644773423364,-0.8412968784809384,-0.5073236754571504,0.61
0.6685076389599597,-2.637951937177084,0.9171622407554907,-1.3811752075187902,-0.8424374605632624,-0.4986850321163446,0.62
0.6669103430116043,-2.6414701355492967,0.9125430331135291,-1.3688928475906887,-0.8449648135336691,-0.48907055335857835,0.63
0.6640333521510801,-2.643332628727079,0.9068001309688163,-1.355852914952844,-0.848815506547838,-0.4785216901777583,0.64
0.6599429769789938,-2.6436113502501066,0.8999789194634519,-1.342147393500972,-0.853923028924114,-0.46708253919374254,0.65
0.6547470957422316,-2.6423741489580483,0.892118462054679,-1.3278979471643606,-0.8602214695442943,-0.4547915724025733,0.66
0.6486036405896607,-2.6396887784928076,0.883262463384806,-1.3132147946721349,-0.8676600661033046,-0.441692668120616,0.67
0.6418507402333358,-2.635608619031325,0.8734543712125145,-1.298363040101723,-0.8761671011913662,-0.4278185251156432,0.68
0.635081126347007,-2.6301716410286335,0.8627539120699114,-1.2839398703110538,-0.8856493440453094,-0.4132120461362002,0.6900000000000001
0.6290338182322396,-2.623424329440385,0.8512087336356787,-1.270715754366163,-0.8957910845888715,-0.3979022874621889,0.7000000000000001
0.624217409350061,-2.6154539115925592,0.8388551392653197,-1.2591454076645006,-0.9057702471890812,-0.3819348449184527,0.71
0.6208456600880738,-2.606363679973118,0.8257276479116727,-1.2493040188366908,-0.915037486701941,-0.36536685733028856,0.72
0.6189657356673551,-2.5962528001469596,0.8118911636645713,-1.241152595508825,-0.9232850853706495,-0.3481903904290047,0.73
0.6185546511497108,-2.585212250532344,0.7974560324664584,-1.2346411330025284,-0.9303812157952235,-0.33042640574366233,0.74
0.619554780999174,-2.5733266658551996,0.7826110268261907,-1.2297615272337774,-0.9362319017590331,-0.3121264806005848,0.75
0.6219141687004205,-2.560727246698071,0.7678119785919781,-1.2264685335967034,-0.9408184494225857,-0.2933071357488022,0.76
