episode,outcome,total_reward,steps,elapsed_time,time_to_first_contact,min_distance,final_distance,target_contact,valid_side_hit,bad_top_down_hit,arm_tip_ground_hit,robot_ground_contact,arm_self_contact,terminated,truncated,target_x,target_y,target_z
0,timeout_or_miss,329.2135573946239,250,2.5,nan,0.4245054522976694,1.2109833355472064,0,0,0,0,0,0,0,1,0.822733602246717,0.3316758339709753,0.6797365457332734
1,timeout_or_miss,329.1712680364001,250,2.5,nan,0.13955614029502836,1.0843597129807991,0,0,0,0,0,0,0,1,0.8676254670750975,0.3391109550601909,0.6332813927866384
2,timeout_or_miss,277.21149293874964,250,2.5,nan,0.44423947065199365,1.4639363628562707,0,0,0,0,0,0,0,1,0.859830875358719,0.31867341856037135,0.667275604401462
3,timeout_or_miss,615.6000487933886,250,2.5,nan,0.08717507638882034,1.2456039276522013,0,0,1,0,0,0,0,1,0.8941802865269938,0.3248245714629571,0.6948881151833318
4,timeout_or_miss,183.83967212440126,250,2.5,nan,0.1516880699101398,1.9231922346613184,0,0,0,0,0,0,0,1,0.8667237453100373,0.3095897935594112,0.6441839666167812
5,timeout_or_miss,324.7545265194768,250,2.5,nan,0.14048346407814555,0.9418062692031675,0,0,0,0,0,0,0,1,0.8886479919327518,0.3697453499882022,0.6326472864070112
6,timeout_or_miss,340.9548092838769,250,2.5,nan,0.30665940112685014,0.6530556498097818,0,0,0,0,0,0,0,1,0.8733928163330067,0.3220134955545486,0.6081594569542208
7,timeout_or_miss,340.93105124837814,250,2.5,nan,0.1081666331100039,0.9128572946163724,0,0,0,0,0,0,0,1,0.8159895601075048,0.3340100184954705,0.646519315370205
8,timeout_or_miss,298.7981555615953,250,2.5,nan,0.327043128546709,0.6004937520411907,0,0,0,0,0,0,0,1,0.8266421028290771,0.3815776403424807,0.6193294389289494
9,timeout_or_miss,331.9153980090565,250,2.5,nan,0.11940714341749654,0.872280751210635,0,0,0,0,0,0,0,1,0.81294690761772,0.3091664751544936,0.6598568013664913
10,timeout_or_miss,253.60495524737857,250,2.5,nan,0.5199265801995806,0.7418599999860391,0,0,0,0,0,0,0,1,0.8854741904374002,0.3601621241693713,0.6931988361135983
11,timeout_or_miss,265.86630373194333,250,2.5,nan,0.573753822991157,0.6005137147287971,0,0,0,0,0,0,0,1,0.872478136109202,0.38605513173932926,0.6929337801575316
12,timeout_or_miss,380.99266318219986,250,2.5,nan,0.4215782755488777,1.1638494461090956,0,0,0,0,0,0,0,1,0.8546186009082354,0.3937672958767757,0.6494987940078824
13,timeout_or_miss,321.4896037960164,250,2.5,nan,0.3404349127813899,1.46439784472709,0,0,0,0,0,0,0,1,0.8273773182489987,0.3451778707474761,0.666503892339953
14,timeout_or_miss,152.4222222013508,250,2.5,nan,0.29866412959346106,0.7038904625001619,0,0,0,0,0,0,0,1,0.8330890930467055,0.3903454006808239,0.6257074175276534
15,timeout_or_miss,194.70600075020005,250,2.5,nan,0.1893299012461839,0.5870671541455975,0,0,0,0,0,0,0,1,0.833982833761032,0.32588533986429274,0.6355446479944286
16,robot_ground_failure,-156.26044483858837,249,2.49,nan,0.3228342620808004,0.6633032874394788,0,0,0,0,1,0,0,1,0.8005022333717132,0.3628604544099679,0.6282382707425118
17,timeout_or_miss,130.46489146136835,250,2.5,nan,0.32277345443160477,0.7493889115816994,0,0,0,0,0,0,0,1,0.8068087689487946,0.36168289772563805,0.6176326320281204
18,timeout_or_miss,133.6926454996104,250,2.5,nan,0.3265075903042331,0.7403931812317491,0,0,0,0,0,0,0,1,0.830438838721959,0.3440886810876118,0.61502023410627
19,timeout_or_miss,309.7337299552187,250,2.5,nan,0.11574024355312931,1.274042473427686,0,0,0,0,0,0,0,1,0.8217928863085435,0.34743331153335444,0.6476368855081192
20,timeout_or_miss,189.35283576365345,250,2.5,nan,0.31218810906938094,0.6568444151604216,0,0,0,0,0,0,0,1,0.82552323538195,0.32975652681480483,0.6279067119813766
21,timeout_or_miss,264.68406330329657,250,2.5,nan,0.3239147824172948,0.6171806431711474,0,0,0,0,0,0,0,1,0.8260579212491298,0.3482761592799316,0.621197903635151
22,timeout_or_miss,486.19263022036176,250,2.5,nan,0.5128366938918968,1.0950984997561586,0,0,0,0,0,0,0,1,0.849563059667304,0.32462613258307377,0.6838482652466944
23,timeout_or_miss,134.54711688253212,250,2.5,nan,0.3225188593835171,0.7390145548201273,0,0,0,0,0,0,0,1,0.8180130590095035,0.38621562915092367,0.6178299444845187
24,timeout_or_miss,311.063515987686,250,2.5,nan,0.13465368045094842,1.3515707022233603,0,0,0,0,0,0,0,1,0.8750531331937245,0.36111204038305655,0.6209155034928607
25,timeout_or_miss,408.3655221905496,250,2.5,nan,0.30158208561490596,0.8058819539610012,0,0,0,0,0,0,0,1,0.8759872421123995,0.32492605695349125,0.6085571731986558
26,timeout_or_miss,506.6183548442633,250,2.5,nan,0.4933091054575289,0.856037273045454,0,0,0,0,0,0,0,1,0.8618056722318092,0.3536968331032336,0.6634526711215275
27,timeout_or_miss,240.70502258392395,250,2.5,nan,0.12087818687321837,1.2749682154980377,0,0,0,0,0,0,0,1,0.8174374108691389,0.32481644898564527,0.6684822984639399
28,timeout_or_miss,227.14427666000935,250,2.5,nan,0.23638878211183953,0.3975033481887614,0,0,0,0,0,0,0,1,0.8080871646250908,0.38750736007561265,0.6428694381539991
29,timeout_or_miss,171.1828809508058,250,2.5,nan,0.24456988047830672,0.6560583205298284,0,0,0,0,0,0,0,1,0.8618394195397379,0.331310550418512,0.6178962855292868
30,timeout_or_miss,261.4948232478682,250,2.5,nan,0.42504685028346,1.4259055485469958,0,0,0,0,0,0,0,1,0.8009712127795453,0.3210042958448453,0.6870000678771652
31,timeout_or_miss,790.3700621193552,250,2.5,nan,0.35969089178781644,0.5336833213499927,0,0,0,0,0,0,0,1,0.897282980239756,0.34417923431911024,0.6378749494809253
32,timeout_or_miss,140.91164178922438,250,2.5,nan,0.3212517755466699,0.7152081012905318,0,0,0,0,0,0,0,1,0.827594708126815,0.3966104109234442,0.6058202605265843
33,timeout_or_miss,148.88590028458222,250,2.5,nan,0.2672910601503304,0.7497950450374733,0,0,0,0,0,0,0,1,0.8408733898861855,0.3168628844528486,0.6240144058401688
34,timeout_or_miss,365.14099521621614,250,2.5,nan,0.4325888693828332,1.1962308596578102,0,0,0,0,0,0,0,1,0.8780007856334212,0.3203767596155612,0.6552050954761621
35,timeout_or_miss,217.37086168880816,250,2.5,nan,0.21211197672051993,0.5148644613091057,0,0,0,0,0,0,0,1,0.8366994142051668,0.3507281721392357,0.6333437796696285
36,timeout_or_miss,153.11389774495268,250,2.5,nan,0.32918279975072956,0.621615153830678,0,0,0,0,0,0,0,1,0.8282721674107879,0.3281830301305207,0.6085381292121288
37,timeout_or_miss,254.23611734196658,250,2.5,nan,0.5455446236766579,0.6270843255278364,0,0,0,0,0,0,0,1,0.8481813655780686,0.38833428945145543,0.6947227766010021
38,timeout_or_miss,167.2262740643826,250,2.5,nan,0.3023490027156013,0.6686669509774815,0,0,0,0,0,0,0,1,0.8027383721927119,0.3917752244502557,0.6121524529485409
39,timeout_or_miss,367.7364055228,250,2.5,nan,0.1237776930433267,0.8229355272987693,0,0,0,0,0,0,0,1,0.874784775978581,0.3896520742049695,0.6167929799937156
40,timeout_or_miss,180.15588096561214,250,2.5,nan,0.16612876808248578,0.7418315401904574,0,0,0,0,0,0,0,1,0.8331463219266811,0.33781566256158024,0.634684895767419
41,timeout_or_miss,301.7708334019666,250,2.5,nan,0.1783362936238173,1.2939203252273936,0,0,0,0,0,0,0,1,0.8516255701115363,0.300899402737133,0.6422678204482383
42,timeout_or_miss,855.5609947309733,250,2.5,nan,0.3256841036382471,0.5613387094885186,0,0,0,0,0,0,0,1,0.8877657729511617,0.3087405152852473,0.6484084817458037
43,timeout_or_miss,190.28839282536129,250,2.5,nan,0.41138881273160627,0.8348228637369496,0,0,0,0,0,0,0,1,0.848122772734053,0.37825714903198654,0.696455957513839
44,timeout_or_miss,234.87797719451095,250,2.5,nan,0.47373551168855943,1.822384224495782,0,0,0,0,0,0,0,1,0.8707096441635543,0.3273736720915496,0.6670113300469858
45,timeout_or_miss,1127.236769282077,250,2.5,nan,0.3263770095400741,1.1267951737845863,0,0,1,0,0,0,0,1,0.8347534802748239,0.376812783605491,0.6675771416252486
46,timeout_or_miss,351.4813080616922,250,2.5,nan,0.1720697253974809,0.36980727615224696,0,0,0,0,0,0,0,1,0.897753202802726,0.3866709789594621,0.6046108014645946
47,timeout_or_miss,353.70561277506397,250,2.5,nan,0.40598494674166263,1.2454584418926105,0,0,0,0,0,0,0,1,0.8290323713087633,0.386239109768908,0.6600847834040765
48,timeout_or_miss,323.82953155725414,250,2.5,nan,0.43186324218002137,1.1918319809559073,0,0,0,0,0,0,0,1,0.8344257958485091,0.30556025767889455,0.6762872669982097
49,timeout_or_miss,391.069364745521,250,2.5,nan,0.4322329569016588,0.9871644973586936,0,0,0,0,0,0,0,1,0.8001518787739055,0.30928435392391357,0.6993504159805639
50,timeout_or_miss,405.34816332819923,250,2.5,nan,0.4471235906012988,0.8786411913767977,0,0,0,0,0,0,0,1,0.8776013077228689,0.3868270862926248,0.6477158251586728
51,timeout_or_miss,380.44242853465306,250,2.5,nan,0.11127490766185816,0.542806560848887,0,0,0,0,0,0,0,1,0.8168848640422325,0.3533977321145166,0.6425831876826552
52,timeout_or_miss,306.53616690335235,250,2.5,nan,0.31867918850738824,0.6004671886255909,0,0,0,0,0,0,0,1,0.8163029596605182,0.3165877571200715,0.6258150168325821
53,timeout_or_miss,628.4754783107173,250,2.5,nan,0.07700902933150235,1.1749905979117716,0,0,1,0,0,0,0,1,0.8943091569865769,0.39868069418476215,0.6703666414860515
54,timeout_or_miss,626.2056126599916,250,2.5,nan,0.5145043342792981,1.690254936427674,0,0,0,0,0,0,0,1,0.8723157413370952,0.37324978072421683,0.6517395518514555
55,timeout_or_miss,651.7161695425531,250,2.5,nan,0.5026633650615688,0.6799661054778924,0,0,0,0,0,0,0,1,0.8177426308255368,0.38776462069275697,0.6880390355749588
56,timeout_or_miss,295.36664743853964,250,2.5,nan,0.46602172821078974,0.46602172821078974,0,0,0,0,0,0,0,1,0.8709534552789582,0.39334288071570866,0.6979998160399423
57,timeout_or_miss,843.6482631559147,250,2.5,nan,0.5121291466769922,1.6533914929418798,0,0,0,0,0,0,0,1,0.8503475782132114,0.37575695069584947,0.6616618523439051
58,timeout_or_miss,159.64447624134726,250,2.5,nan,0.31924312645385355,0.5930492402171453,0,0,0,0,0,0,0,1,0.8114889068210525,0.33159884801236306,0.6067733897529898
59,timeout_or_miss,335.8145297005331,250,2.5,nan,0.4331467941149938,1.0512211600124983,0,0,0,0,0,0,0,1,0.8886871178111226,0.3022070398874919,0.6537286703404405
60,timeout_or_miss,152.42537655568043,250,2.5,nan,0.32329808473131216,0.6064733260218116,0,0,0,0,0,0,0,1,0.817761210649073,0.31469949093646565,0.6165844480064849
61,timeout_or_miss,282.2527919881144,250,2.5,nan,0.13269396744100945,1.105288887701037,0,0,0,0,0,0,0,1,0.8876953978908901,0.34944701255790583,0.634090049533414
62,timeout_or_miss,276.47489554005483,250,2.5,nan,0.13249539905152463,1.1725678706372296,0,0,0,0,0,0,0,1,0.899920982588174,0.3545974895751599,0.6303331125605377
63,timeout_or_miss,140.96561595638096,250,2.5,nan,0.3227476549737732,0.7087975881817759,0,0,0,0,0,0,0,1,0.8370651700839653,0.3695866878053282,0.6120246568638738
64,timeout_or_miss,428.1090651789516,250,2.5,nan,0.4590760250936724,0.6752871055748376,0,0,0,0,0,0,0,1,0.8758221188168765,0.38837676068489174,0.6475131144777038
65,timeout_or_miss,312.65990130504207,250,2.5,nan,0.15585169544941432,1.2126516128761617,0,0,0,0,0,0,0,1,0.8437304704966233,0.3143114773268864,0.6422742258409786
66,timeout_or_miss,301.2855663964758,250,2.5,nan,0.4707845745248143,1.6829401608778296,0,0,0,0,0,0,0,1,0.8764411694379165,0.34139832914359036,0.6619930968640051
67,timeout_or_miss,206.42669272746755,250,2.5,nan,0.32371576682913455,0.5872796042447116,0,0,0,0,0,0,0,1,0.804377948120212,0.32197253737571263,0.6203828714312493
68,timeout_or_miss,346.59866998777864,250,2.5,nan,0.22231700465824916,1.2619990760428201,0,0,0,0,0,0,0,1,0.8981173502950803,0.30445498818991074,0.6215318496599624
69,timeout_or_miss,401.17290312353964,250,2.5,nan,0.2510408429736281,1.073698543469692,0,0,0,0,0,0,0,1,0.8031399233952136,0.3639535251691325,0.6653170421798361
70,timeout_or_miss,355.9212330822471,250,2.5,nan,0.13361173772406307,0.889991006336428,0,0,0,0,0,0,0,1,0.8345521501503278,0.30363545247331036,0.6435010444284366
71,timeout_or_miss,185.15401018296635,250,2.5,nan,0.23983031616143954,0.5737994261197408,0,0,0,0,0,0,0,1,0.817132863376663,0.34267242355151556,0.6372810252619876
72,timeout_or_miss,1385.4546131937714,250,2.5,nan,0.3543673385589887,1.0170057310736222,0,0,0,0,0,0,0,1,0.8221086336472715,0.384164094498859,0.6692615049555631
73,timeout_or_miss,304.8998117386981,250,2.5,nan,0.3290011046457763,0.6190206158154127,0,0,0,0,0,0,0,1,0.847064519312277,0.33996853131022203,0.6109039886593035
74,timeout_or_miss,870.0673695010197,250,2.5,nan,0.1622868525521522,0.523912340511466,0,0,1,0,0,0,0,1,0.860303855174262,0.35041519490305956,0.6905381065926048
75,timeout_or_miss,224.40858466216426,250,2.5,nan,0.45945546942008736,0.4961399355875504,0,0,0,0,0,0,0,1,0.8968909918758077,0.38095952910610265,0.6866696262264186
76,timeout_or_miss,196.71766323896009,250,2.5,nan,0.14216863373524635,2.0858664576533967,0,0,0,0,0,0,0,1,0.8495789726332424,0.3373782206031387,0.6478990193762753
77,timeout_or_miss,328.55004596178554,250,2.5,nan,0.32112193622924323,0.5081479360422997,0,0,0,0,0,0,0,1,0.8531242575230232,0.38176967945074863,0.6151006361258405
78,timeout_or_miss,338.1903984925414,250,2.5,nan,0.17120496831543625,0.38862652703806794,0,0,0,0,0,0,0,1,0.860055889498316,0.39059897829650986,0.6222464018372336
79,timeout_or_miss,1207.660880783061,250,2.5,nan,0.2232966563477135,0.7538672269422482,0,0,1,0,0,0,0,1,0.8287863254197199,0.38422146001754,0.6651867893693305
80,timeout_or_miss,223.70082776920472,250,2.5,nan,0.5850841477679087,0.6080230697885199,0,0,0,0,0,0,0,1,0.8965464942393211,0.3642083735351384,0.6949332892557276
81,timeout_or_miss,341.36655368174604,250,2.5,nan,0.12456246451891415,1.1416917069602357,0,0,0,0,0,0,0,1,0.8826848385239072,0.3674667984933636,0.6189987748600849
82,timeout_or_miss,171.85005559963892,250,2.5,nan,0.2665786446617539,0.6209055458556696,0,0,0,0,0,0,0,1,0.8213533186611177,0.3863029711914087,0.633392393225282
83,timeout_or_miss,316.13480066224855,250,2.5,nan,0.12440471523404344,0.9520302520694334,0,0,0,0,0,0,0,1,0.8686435782526722,0.3435375718864964,0.6459348759623221
84,timeout_or_miss,298.0716779423483,250,2.5,nan,0.32276176087485914,0.47461264264138503,0,0,0,0,0,0,0,1,0.8010575040030258,0.38223224448431553,0.6311449464213086
85,timeout_or_miss,215.20817271051723,250,2.5,nan,0.1336891945822203,1.4735813861086329,0,0,0,0,0,0,0,1,0.8337133450801488,0.30716019012442664,0.6624627076500582
