timesteps,target_index,elapsed_time,target_x,target_y,target_z,distance,reward,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,valid_side_hit,top_down_contact,unsafe_robot_failure,safe_target_contact,whip_target_contact
300000,12,0.01,0.95,-0.35,0.85,1.685926324750552,-1.5450161840587517,-0.0008173569633425512,-1.9141530315665283,1.486061209328609,-0.8613567384250064,-1.554349317136172,1.900112682391125e-05,0,0,0,0,0
300000,12,0.02,0.95,-0.35,0.85,1.6858165657180297,-0.19020533750366428,-0.0026407535578322526,-1.914617167353496,1.4831256502184718,-0.861894743290828,-1.5517263530189997,0.00012595990817741243,0,0,0,0,0
300000,12,0.03,0.95,-0.35,0.85,1.6857969884653992,-0.1935243413167529,-0.005491454721058277,-1.9154830910033285,1.478746786963182,-0.8631200671674077,-1.5478305549951388,0.0004399929277386106,0,0,0,0,0
300000,12,0.04,0.95,-0.35,0.85,1.685808491933094,-0.20126571319259634,-0.009374091113190753,-1.9167186192477685,1.4730935777659784,-0.8651721954117163,-1.5427379485414712,0.0009723935125419594,0,0,0,0,0
300000,12,0.05,0.95,-0.35,0.85,1.685799106465363,-0.20072865162083542,-0.014222286989640016,-1.918280846627899,1.4663556229262193,-0.8681989769069743,-1.5365410615029218,0.001730966283658885,0,0,0,0,0
300000,12,0.06,0.95,-0.35,0.85,1.6857758108519225,-0.2005532462010282,-0.019948254109595567,-1.9201265640273883,1.4587319779194086,-0.8723317768591567,-1.529336314707957,0.002734976095694389,0,0,0,0,0
300000,12,0.07,0.95,-0.35,0.85,1.6857363603958628,-0.1942644674678575,-0.026440844328203972,-1.9222073234164516,1.4504472839556553,-0.8776679664668081,-1.5212200547896482,0.0040125177284537905,0,0,0,0,0
300000,12,0.08,0.95,-0.35,0.85,1.6856632854044642,-0.1931991647134456,-0.033588661218798416,-1.924470783447061,1.4417225028363077,-0.8842596913820995,-1.5122773907453302,0.005573209800961141,0,0,0,0,0
300000,12,0.09,0.95,-0.35,0.85,1.68551425952114,-0.19024230235868614,-0.04129701070357733,-1.9268620930179488,1.432755319706023,-0.8921157360319592,-1.5025634452811452,0.0074185467890799115,0,0,0,0,0
300000,12,0.1,0.95,-0.35,0.85,1.6853147727983049,-0.18940798101073078,-0.0494980021708462,-1.929350771915907,1.4237255927726156,-0.9012118861837578,-1.492145195973083,0.009580576364453966,0,0,0,0,0
300000,12,0.11,0.95,-0.35,0.85,1.6849892802116675,-0.1841640462581004,-0.058127116660000866,-1.93192782860235,1.4147686137052071,-0.9115435018607807,-1.4810827831573676,0.012053873229589401,0,0,0,0,0
300000,12,0.12,0.95,-0.35,0.85,1.684530946300537,-0.17863025113715011,-0.06711741635894532,-1.9346053209337393,1.4060388305366018,-0.9230564764447056,-1.469441263120702,0.014856798884373433,0,0,0,0,0
